# Chi2 Rg SupportVolume
5.05198e+02 1.76944e+02 6.49648e+07
5.04655e+02 1.76951e+02 6.49648e+07
5.04113e+02 1.76957e+02 6.49648e+07
5.03572e+02 1.76963e+02 6.49648e+07
5.03032e+02 1.76968e+02 6.49648e+07
5.02493e+02 1.76974e+02 6.49648e+07
5.01952e+02 1.76979e+02 6.49648e+07
5.01412e+02 1.76985e+02 6.49648e+07
5.00870e+02 1.76990e+02 6.49648e+07
5.00328e+02 1.76994e+02 6.49648e+07
4.99788e+02 1.76998e+02 6.49648e+07
4.99249e+02 1.77003e+02 6.49648e+07
4.98710e+02 1.77008e+02 6.49648e+07
4.98173e+02 1.77014e+02 6.49648e+07
4.97639e+02 1.77019e+02 6.49648e+07
4.97104e+02 1.77025e+02 6.49648e+07
4.96570e+02 1.77030e+02 6.49648e+07
4.96035e+02 1.77035e+02 6.49648e+07
4.95501e+02 1.77041e+02 6.49648e+07
4.94967e+02 1.77046e+02 6.49648e+07
4.94433e+02 1.77052e+02 6.49648e+07
4.93899e+02 1.77058e+02 6.49648e+07
4.93364e+02 1.77064e+02 6.49648e+07
4.92829e+02 1.77070e+02 6.49648e+07
4.92295e+02 1.77076e+02 6.49648e+07
4.91760e+02 1.77082e+02 6.49648e+07
4.91225e+02 1.77088e+02 6.49648e+07
4.90689e+02 1.77095e+02 6.49648e+07
4.90156e+02 1.77101e+02 6.49648e+07
4.89627e+02 1.77108e+02 6.49648e+07
4.89100e+02 1.77115e+02 6.49648e+07
4.88574e+02 1.77121e+02 6.49648e+07
4.88051e+02 1.77127e+02 6.49648e+07
4.87531e+02 1.77133e+02 6.49648e+07
4.87009e+02 1.77138e+02 6.49648e+07
4.86487e+02 1.77143e+02 6.49648e+07
4.85964e+02 1.77147e+02 6.49648e+07
4.85442e+02 1.77152e+02 6.49648e+07
4.84921e+02 1.77158e+02 6.49648e+07
4.84401e+02 1.77165e+02 6.49648e+07
4.83882e+02 1.77172e+02 6.49648e+07
4.83363e+02 1.77180e+02 6.49648e+07
4.82843e+02 1.77189e+02 6.49648e+07
4.82323e+02 1.77197e+02 6.49648e+07
4.81804e+02 1.77206e+02 6.49648e+07
4.81284e+02 1.77214e+02 6.49648e+07
4.80765e+02 1.77224e+02 6.49648e+07
4.80248e+02 1.77233e+02 6.49648e+07
4.79731e+02 1.77242e+02 6.49648e+07
4.79215e+02 1.77250e+02 6.49648e+07
4.78699e+02 1.77258e+02 6.49648e+07
4.78184e+02 1.77266e+02 6.49648e+07
4.77670e+02 1.77274e+02 6.49648e+07
4.77155e+02 1.77281e+02 6.49648e+07
4.76640e+02 1.77288e+02 6.49648e+07
4.76126e+02 1.77295e+02 6.49648e+07
4.75611e+02 1.77301e+02 6.49648e+07
4.75095e+02 1.77308e+02 6.49648e+07
4.74581e+02 1.77314e+02 6.49648e+07
4.74070e+02 1.77321e+02 6.49648e+07
4.73565e+02 1.77327e+02 6.49648e+07
4.73064e+02 1.77332e+02 6.49648e+07
4.72560e+02 1.77336e+02 6.49648e+07
4.72058e+02 1.77340e+02 6.49648e+07
4.71559e+02 1.77344e+02 6.49648e+07
4.71060e+02 1.77348e+02 6.49648e+07
4.70561e+02 1.77353e+02 6.49648e+07
4.70063e+02 1.77358e+02 6.49648e+07
4.69565e+02 1.77363e+02 6.49648e+07
4.69068e+02 1.77368e+02 6.49648e+07
4.68571e+02 1.77372e+02 6.49648e+07
4.68075e+02 1.77378e+02 6.49648e+07
4.67582e+02 1.77383e+02 6.49648e+07
4.67091e+02 1.77389e+02 6.49648e+07
4.66600e+02 1.77394e+02 6.49648e+07
4.66107e+02 1.77400e+02 6.49648e+07
4.65614e+02 1.77407e+02 6.49648e+07
4.65122e+02 1.77414e+02 6.49648e+07
4.64629e+02 1.77420e+02 6.49648e+07
4.64136e+02 1.77426e+02 6.49648e+07
4.63645e+02 1.77432e+02 6.49648e+07
4.63155e+02 1.77437e+02 6.49648e+07
4.62665e+02 1.77441e+02 6.49648e+07
4.62175e+02 1.77445e+02 6.49648e+07
4.61686e+02 1.77449e+02 6.49648e+07
4.61197e+02 1.77454e+02 6.49648e+07
4.60713e+02 1.77457e+02 6.49648e+07
4.60228e+02 1.77461e+02 6.49648e+07
4.59744e+02 1.77464e+02 6.49648e+07
4.59263e+02 1.77467e+02 6.49648e+07
4.58782e+02 1.77469e+02 6.49648e+07
4.58303e+02 1.77470e+02 6.49648e+07
4.57824e+02 1.77471e+02 6.49648e+07
4.57347e+02 1.77471e+02 6.49648e+07
4.56870e+02 1.77471e+02 6.49648e+07
4.56394e+02 1.77472e+02 6.49648e+07
4.55918e+02 1.77472e+02 6.49648e+07
4.55443e+02 1.77472e+02 6.49648e+07
4.54969e+02 1.77472e+02 6.49648e+07
4.54495e+02 1.77472e+02 6.49648e+07
4.54022e+02 1.77473e+02 6.49648e+07
4.53548e+02 1.77473e+02 6.49648e+07
4.53074e+02 1.77474e+02 6.49648e+07
4.52600e+02 1.77476e+02 6.49648e+07
4.52127e+02 1.77478e+02 6.49648e+07
4.51653e+02 1.77480e+02 6.49648e+07
4.51178e+02 1.77482e+02 6.49648e+07
4.50704e+02 1.77484e+02 6.49648e+07
4.50232e+02 1.77487e+02 6.49648e+07
4.49759e+02 1.77490e+02 6.49648e+07
4.49285e+02 1.77493e+02 6.49648e+07
4.48811e+02 1.77496e+02 6.49648e+07
4.48339e+02 1.77498e+02 6.49648e+07
4.47865e+02 1.77500e+02 6.49648e+07
4.47392e+02 1.77502e+02 6.49648e+07
4.46920e+02 1.77505e+02 6.49648e+07
4.46447e+02 1.77507e+02 6.49648e+07
4.45974e+02 1.77509e+02 6.49648e+07
4.45504e+02 1.77510e+02 6.49648e+07
4.45036e+02 1.77512e+02 6.49648e+07
4.44570e+02 1.77514e+02 6.49648e+07
4.44106e+02 1.77515e+02 6.49648e+07
4.43642e+02 1.77515e+02 6.49648e+07
4.43181e+02 1.77517e+02 6.49648e+07
4.42722e+02 1.77518e+02 6.49648e+07
4.42262e+02 1.77519e+02 6.49648e+07
4.41801e+02 1.77520e+02 6.49648e+07
4.41341e+02 1.77521e+02 6.49648e+07
4.40881e+02 1.77520e+02 6.49648e+07
4.40421e+02 1.77520e+02 6.49648e+07
4.39961e+02 1.77521e+02 6.49648e+07
4.39500e+02 1.77522e+02 6.49648e+07
4.39040e+02 1.77522e+02 6.49648e+07
4.38578e+02 1.77523e+02 6.49648e+07
4.38117e+02 1.77522e+02 6.49648e+07
4.37656e+02 1.77522e+02 6.49648e+07
4.37196e+02 1.77521e+02 6.49648e+07
4.36734e+02 1.77521e+02 6.49648e+07
4.36275e+02 1.77520e+02 6.49648e+07
4.35819e+02 1.77518e+02 6.49648e+07
4.35364e+02 1.77517e+02 6.49648e+07
4.34911e+02 1.77516e+02 6.49648e+07
4.34460e+02 1.77514e+02 6.49648e+07
4.34011e+02 1.77512e+02 6.49648e+07
4.33564e+02 1.77511e+02 6.49648e+07
4.33116e+02 1.77509e+02 6.49648e+07
4.32668e+02 1.77508e+02 6.49648e+07
4.32221e+02 1.77506e+02 6.49648e+07
4.31774e+02 1.77505e+02 6.49648e+07
4.31328e+02 1.77504e+02 6.49648e+07
4.30883e+02 1.77503e+02 6.49648e+07
4.30438e+02 1.77503e+02 6.49648e+07
4.29993e+02 1.77502e+02 6.49648e+07
4.29550e+02 1.77501e+02 6.49648e+07
4.29106e+02 1.77500e+02 6.49648e+07
4.28663e+02 1.77499e+02 6.49648e+07
4.28219e+02 1.77499e+02 6.49648e+07
4.27777e+02 1.77499e+02 6.49648e+07
4.27335e+02 1.77499e+02 6.49648e+07
4.26893e+02 1.77498e+02 6.49648e+07
4.26451e+02 1.77498e+02 6.49648e+07
4.26011e+02 1.77497e+02 6.49648e+07
4.25570e+02 1.77497e+02 6.49648e+07
4.25132e+02 1.77496e+02 6.49648e+07
4.24693e+02 1.77496e+02 6.49648e+07
4.24254e+02 1.77495e+02 6.49648e+07
4.23815e+02 1.77494e+02 6.49648e+07
4.23376e+02 1.77493e+02 6.49648e+07
4.22935e+02 1.77492e+02 6.49648e+07
4.22498e+02 1.77491e+02 6.49648e+07
4.22061e+02 1.77490e+02 6.49648e+07
4.21624e+02 1.77489e+02 6.49648e+07
4.21188e+02 1.77489e+02 6.49648e+07
4.20750e+02 1.77488e+02 6.49648e+07
4.20313e+02 1.77487e+02 6.49648e+07
4.19877e+02 1.77486e+02 6.49648e+07
4.19442e+02 1.77485e+02 6.49648e+07
4.19007e+02 1.77483e+02 6.49648e+07
4.18575e+02 1.77481e+02 6.49648e+07
4.18143e+02 1.77479e+02 6.49648e+07
4.17710e+02 1.77477e+02 6.49648e+07
4.17276e+02 1.77474e+02 6.49648e+07
4.16843e+02 1.77472e+02 6.49648e+07
4.16410e+02 1.77470e+02 6.49648e+07
4.15978e+02 1.77468e+02 6.49648e+07
4.15547e+02 1.77467e+02 6.49648e+07
4.15117e+02 1.77465e+02 6.49648e+07
4.14689e+02 1.77464e+02 6.49648e+07
4.14264e+02 1.77462e+02 6.49648e+07
4.13840e+02 1.77461e+02 6.49648e+07
4.13417e+02 1.77460e+02 6.49648e+07
4.12994e+02 1.77459e+02 6.49648e+07
4.12572e+02 1.77458e+02 6.49648e+07
4.12149e+02 1.77456e+02 6.49648e+07
4.11728e+02 1.77455e+02 6.49648e+07
4.11306e+02 1.77454e+02 6.49648e+07
4.10886e+02 1.77453e+02 6.49648e+07
4.10464e+02 1.77453e+02 6.49648e+07
4.10042e+02 1.77452e+02 6.49648e+07
4.09620e+02 1.77451e+02 6.49648e+07
4.09197e+02 1.77450e+02 6.49648e+07
4.08774e+02 1.77448e+02 6.49648e+07
4.08350e+02 1.77447e+02 6.49648e+07
4.07926e+02 1.77445e+02 6.49648e+07
4.07502e+02 1.77443e+02 6.49648e+07
4.07078e+02 1.77441e+02 6.49648e+07
4.06654e+02 1.77440e+02 6.49648e+07
4.06228e+02 1.77438e+02 6.49648e+07
4.05801e+02 1.77436e+02 6.49648e+07
4.05375e+02 1.77434e+02 6.49648e+07
4.04947e+02 1.77432e+02 6.49648e+07
4.04520e+02 1.77430e+02 6.49648e+07
4.04092e+02 1.77427e+02 6.49648e+07
4.03665e+02 1.77424e+02 6.49648e+07
4.03238e+02 1.77422e+02 6.49648e+07
4.02809e+02 1.77419e+02 6.49648e+07
4.02380e+02 1.77416e+02 6.49648e+07
4.01951e+02 1.77413e+02 6.49648e+07
4.01522e+02 1.77410e+02 6.49648e+07
4.01095e+02 1.77406e+02 6.49648e+07
4.00670e+02 1.77403e+02 6.49648e+07
4.00245e+02 1.77399e+02 6.49648e+07
3.99820e+02 1.77395e+02 6.49648e+07
3.99395e+02 1.77391e+02 6.49648e+07
3.98970e+02 1.77387e+02 6.49648e+07
3.98545e+02 1.77383e+02 6.49648e+07
3.98122e+02 1.77380e+02 6.49648e+07
3.97702e+02 1.77377e+02 6.49648e+07
3.97286e+02 1.77374e+02 6.49648e+07
3.96870e+02 1.77371e+02 6.49648e+07
3.96458e+02 1.77367e+02 6.49648e+07
3.96047e+02 1.77363e+02 6.49648e+07
3.95637e+02 1.77360e+02 6.49648e+07
3.95227e+02 1.77357e+02 6.49648e+07
3.94818e+02 1.77354e+02 6.49648e+07
3.94409e+02 1.77351e+02 6.49648e+07
3.94001e+02 1.77348e+02 6.49648e+07
3.93594e+02 1.77345e+02 6.49648e+07
3.93187e+02 1.77343e+02 6.49648e+07
3.92780e+02 1.77340e+02 6.49648e+07
3.92373e+02 1.77338e+02 6.49648e+07
3.91967e+02 1.77335e+02 6.49648e+07
3.91563e+02 1.77333e+02 6.49648e+07
3.91159e+02 1.77331e+02 6.49648e+07
3.90755e+02 1.77328e+02 6.49648e+07
3.90351e+02 1.77326e+02 6.49648e+07
3.89950e+02 1.45377e+02 6.49648e+07
3.89550e+02 1.45368e+02 6.49648e+07
3.89149e+02 1.45359e+02 6.49648e+07
3.88751e+02 1.45350e+02 6.49648e+07
3.88353e+02 1.45340e+02 6.49648e+07
